coreid,catalogNumber,identifier
336d30e8-2e55-4f28-bc52-5b1634540a2b,4409032,https://api.naturemapr.org/api/sightings/4409032/images/3
674d957e-864e-4a89-9ff5-27f213b025c7,4409115,https://api.naturemapr.org/api/sightings/4409115/images/3
8bc0e941-bbfc-49b4-861f-fe85db3e1751,4409114,https://api.naturemapr.org/api/sightings/4409114/images/3
0fe30408-1e05-4c5b-b342-73dd8af7ebc5,4409116,https://api.naturemapr.org/api/sightings/4409116/images/3
6c462e68-d054-4190-8249-eb54e0dd0185,4409113,https://api.naturemapr.org/api/sightings/4409113/images/3
2431a46b-2d33-41eb-ad7f-43a9f10993a7,4409112,https://api.naturemapr.org/api/sightings/4409112/images/3
24635fac-c30c-4662-991a-827d57164d0b,4409110,https://api.naturemapr.org/api/sightings/4409110/images/3
07b7e222-aa78-4982-86f1-99ab451ee864,4409108,https://api.naturemapr.org/api/sightings/4409108/images/3
0c097b4a-433c-4b78-96b5-3c4e9d7cdf67,4409005,https://api.naturemapr.org/api/sightings/4409005/images/3
869142e5-7fbf-4f2e-9121-634fc385448c,4409106,https://api.naturemapr.org/api/sightings/4409106/images/3
7eeedf22-7c58-444c-8d66-d911ff27746d,4408965,https://api.naturemapr.org/api/sightings/4408965/images/3
911b7581-1266-4a63-9e4e-0b9b33d98783,4409104,https://api.naturemapr.org/api/sightings/4409104/images/3
c4408893-5636-46cd-9f80-2320de0a67f4,4409099,https://api.naturemapr.org/api/sightings/4409099/images/3
8ae2d290-bd0a-4401-88b8-e7b539c4839b,4409003,https://api.naturemapr.org/api/sightings/4409003/images/3
dc3da568-b10a-40c6-80d6-74e1dbb45902,4409098,https://api.naturemapr.org/api/sightings/4409098/images/3
70e4fe20-2603-430e-8a8f-3113536843f7,4409096,https://api.naturemapr.org/api/sightings/4409096/images/3
c7100c2f-7667-4dff-b59d-562ba0f66ea3,4409000,https://api.naturemapr.org/api/sightings/4409000/images/3
fce2cf20-99ec-4890-b63b-38cba506acc9,4408999,https://api.naturemapr.org/api/sightings/4408999/images/3
cc8a122a-b237-403f-bf36-63e577b83e64,4408998,https://api.naturemapr.org/api/sightings/4408998/images/3
d79dc1c8-7a51-44f4-af5a-9a171f8043f9,4408997,https://api.naturemapr.org/api/sightings/4408997/images/3
07120fd4-4d53-4b3d-8f8b-412261e2b78a,4409090,https://api.naturemapr.org/api/sightings/4409090/images/3
08586b2b-9ca9-46f4-a380-693023688619,4409446,https://api.naturemapr.org/api/sightings/4409446/images/4
a8971b56-18f4-4254-8957-aa839d72e962,4409260,https://api.naturemapr.org/api/sightings/4409260/images/4
f973ef83-c944-4742-80ef-931001b55aea,4409162,https://api.naturemapr.org/api/sightings/4409162/images/4
bd1a9d7e-b26f-4517-8ea8-a328fc2edfbc,4409255,https://api.naturemapr.org/api/sightings/4409255/images/4
27b6138c-0629-4307-99a2-5be0d3b99e32,4409226,https://api.naturemapr.org/api/sightings/4409226/images/4
6cfe9c0b-4840-4c75-8925-46abac537489,4409229,https://api.naturemapr.org/api/sightings/4409229/images/4
809fd2c5-7bd8-4308-b844-46da0ab5e60e,4409231,https://api.naturemapr.org/api/sightings/4409231/images/4
85cde6c3-6df1-4538-b201-7ea6ac4e8943,4409274,https://api.naturemapr.org/api/sightings/4409274/images/4
1eabc90f-db59-47bb-929d-79232dc216e0,4409167,https://api.naturemapr.org/api/sightings/4409167/images/4
06b0607c-d174-461b-8b70-64ffbbf0ab99,4409339,https://api.naturemapr.org/api/sightings/4409339/images/4
90084451-9d0a-4575-95bd-b71e39385605,4409272,https://api.naturemapr.org/api/sightings/4409272/images/4
b0b8c60c-12c3-4369-a777-a49c805cff50,4409176,https://api.naturemapr.org/api/sightings/4409176/images/4
f10f3aef-57d1-43c9-abb1-8dc588163c12,4409019,https://api.naturemapr.org/api/sightings/4409019/images/4
c64d0055-2148-454a-8875-d034dee065b0,4409021,https://api.naturemapr.org/api/sightings/4409021/images/4
